"id" "text" "screenname" "isretweet" "retweeted" "created"
"1" "539569584400269312" "RT @_tie7: “@FreeTopher: @Walmart gave $10K to Darren Wilson so that he could move to a safer location SMFH http://t.co/dKDIE0QCzt” rt this…" "classygirlkayy" TRUE FALSE 1417478388
"2" "539569462673162241" "RT @_Spin_Machine_: #DirtySue picking up her HIV meds at @Walmart for #AIDSDay2014 http://t.co/8n3WqyOMdl" "LglzeDrgsNMrdr" TRUE FALSE 1417478359
"3" "539569423162433536" "@voiceBoksScoop me! From @walmart for my #MilkSplashRecipes" "kimnelson111" FALSE FALSE 1417478349
"4" "539569395488403456" "Walton Family: Use Your Influence to Give Walmart Workers a Decent Wage &amp; Benefits  http://t.co/T7hHetYs0Z @walmart Fuck Wal-Mart" "mmitsuda" FALSE FALSE 1417478343
"5" "539569270976684032" "RT @VIZIO: Shop @Walmart’s #BlackFriday today in-store &amp; get great VIZIO deals! Learn more: http://t.co/7zfTG3DmuG http://t.co/P2DAfIcibP" "gjrandjlm" TRUE FALSE 1417478313
"6" "539569155754557440" ". @SolarCity, @SunEdison Announce New Solar Projects With @Walmart in 36 states. http://t.co/5UyuMiocxV" "wtwh_MsMedia" FALSE FALSE 1417478286
"7" "539569106757099522" "@Walmart Woot Woot UConn #pregamepride @TamaraTerni" "TamaraTerni" FALSE FALSE 1417478274
"8" "539569051014402048" "Decisions were made at @walmart today. #1stworld #healthychoices http://t.co/Ijf7B2HRb9" "theonlyseamus" FALSE FALSE 1417478261
"9" "539568960237473792" "RT @Walmart: Free #Layaway, Santa's other helper. http://t.co/gCBubQajXJ http://t.co/TdTOsVi9V8" "TamaraTerni" TRUE FALSE 1417478239
"10" "539568848832184321" "@ChicGiselle @Walmart Whoa, really?  That's a bargain!  I have found some really good deals on Walmart too...even without the Cyber savings!" "wellconnectdmom" FALSE FALSE 1417478212
"11" "539568840997613568" "@Walmart logic the items in stock but we wont put it on the shelf today just keep checking back all week #terribleservice #irritated 2xnow" "t0rifreeman" FALSE FALSE 1417478211
"12" "539568601326313473" "RT @ricekrispies: Dulce de Leche Treats make a caramelicious gift. Get recipe &amp; ingredients at @Walmart. http://t.co/Dxbr1fN27n
https://t.c…" "RMikulencak" TRUE FALSE 1417478153
"13" "539568585312862208" "@Walmart gives me the worst anxiety when I shop there!!!" "LittleNatoli" FALSE FALSE 1417478150
"14" "539567995371024385" "@Target pharmacy makes me feel like I'm at @Walmart" "AshleyB510" FALSE FALSE 1417478009
"15" "539567654483558401" "RT @GuyFieri: Soo kewl to see my cookware at @walmart! http://t.co/VzRFauegI9" "Long_JOHNSON69" TRUE FALSE 1417477928
"16" "539567477559017473" "RT @GuyFieri: Soo kewl to see my cookware at @walmart! http://t.co/VzRFauegI9" "_notsofreewilly" TRUE FALSE 1417477885
"17" "539567475822579713" "@Walmart Do you have @WWE Survivor Series on DVD? Cause I really want to buy it so I can watch it." "StarshipDeadman" FALSE FALSE 1417477885
"18" "539567468524888064" "RT @MinusTheCultJam: RT if you think @walmart needs to respond to my complaint so my blood pressure can stay normal." "BamboSlice" TRUE FALSE 1417477883
"19" "539567300907913216" "RT @UncreativeMommy: Do you love Honey Nut Cheerios? Get a $1 off coupon @Walmart here as well as an exclusive song by @Usher:#ad http://t.…" "funmom91" TRUE FALSE 1417477843
"20" "539567255143870464" "going on 25 minutes straight stuck in line at @Walmart" "samc0yne" FALSE FALSE 1417477832
"21" "539567080497238018" "RT @MinusTheCultJam: RT if you think @walmart needs to respond to my complaint so my blood pressure can stay normal." "bellissimaa" FALSE FALSE 1417477791
"22" "539566956689764353" "RT @dreamhampton: .@Walmart is complicit in John Crawford's murder. They deserve http://t.co/CUw3vRaSNW" "dahetoletehi" FALSE FALSE 1417477761
"23" "539566794936430592" "So @Walmart really gonna have like 5 lanes out of 22 open right now? During rush hour AND Christmas season. #bullshit" "colormeKyssable" FALSE FALSE 1417477723
"24" "539566481638715393" "RT @MinusTheCultJam: RT if you think @walmart needs to respond to my complaint so my blood pressure can stay normal." "Hunt4Ryan" FALSE FALSE 1417477648
"25" "539566464379158528" "@swagbucks #MyWishList #Contest #Swagbucks (jshootingstar) @walmart http://t.co/kvaJEATW2m" "LoserfaceJanie" FALSE FALSE 1417477644
"26" "539566461157924866" "RT @nbc: John, Wendy, &amp; Michael: Meet the Darling family in #PeterPanLive presented by @Walmart. Join us Dec 4 at 8/7c.
https://t.co/cy2BME…" "Tooch803" TRUE FALSE 1417477643
"27" "539566351317471232" "RT if you think @walmart needs to respond to my complaint so my blood pressure can stay normal." "MinusTheCultJam" FALSE FALSE 1417477617
"28" "539566333089050624" "RT @UncreativeMommy: Do you love Honey Nut Cheerios? Get a $1 off coupon @Walmart here as well as an exclusive song by @Usher:#ad http://t.…" "APIIGY" TRUE FALSE 1417477613
"29" "539566243359895552" "Well @Walmart, because of your refusal to price match at my local store, I will take my business elsewhere." "hardrocknguy" FALSE FALSE 1417477591
"30" "539566178814132224" "RT @ricekrispies: Dulce de Leche Treats make a caramelicious gift. Get recipe &amp; ingredients at @Walmart. http://t.co/Dxbr1fN27n
https://t.c…" "0GL0K0_" TRUE FALSE 1417477576
"31" "539566146845175808" "I'm thinking if it's a franchise company it's NOT @ShopSmall #shoplocal is LOCAL businesses. Doesn't really include @McDonalds or @Walmart" "T_HansonSutton" FALSE FALSE 1417477568
"32" "539566132978782209" "@Walmart thanks for reminding me why I hate shopping on your site. I ordered your #CyberMonday Moto E within the first minute Now canceled!" "ExappleSTL" FALSE FALSE 1417477565
"33" "539566073289273346" "Dangit @Walmart. Your site says it's at the store, but it's not. What's the point of telling me if it's wrong?" "RofaMW" FALSE FALSE 1417477551
"34" "539565991706255360" "RT @ricekrispies: Dulce de Leche Treats make a caramelicious gift. Get recipe &amp; ingredients at @Walmart. http://t.co/Dxbr1fN27n
https://t.c…" "ThaisEllie" TRUE FALSE 1417477531
"35" "539565979337240576" ".@strumcat Maybe she is on drugs.@Walmart All I know is that she screamed &amp; I cried. Coincidently, I was refilling my anti-depressants." "aPolishgirl" FALSE FALSE 1417477528
"36" "539565887401910272" "@RealTracyMorgan excuse me sir but after u beat WalMart and become the primary stock holder do u think I can get a job FT @walmart?????" "calikingbear" FALSE FALSE 1417477506
"37" "539565711153434624" "RT @Walmart: #CyberMonday is here! Save big right now at our biggest event of the year: http://t.co/ZKo75tzvc2 http://t.co/XBDeLYBYyd" "LocalDirect" TRUE FALSE 1417477464
"38" "539565634687102976" "RT @UncreativeMommy: Do you love Honey Nut Cheerios? Get a $1 off coupon @Walmart here as well as an exclusive song by @Usher:#ad http://t.…" "KrystalS" TRUE FALSE 1417477446
"39" "539565633223278592" "To @Walmart Doug McMillon - Pres&amp;CEO 12100 lem turner store CSM Heather V n Jax FL say cyber Monday $ is online only!! #ImSOL #nosaleinstore" "4theloveofus" FALSE FALSE 1417477446
"40" "539565616911237120" "@Walmart nope.  No one in electronics even looked into it. I got fed up and went to @CVS_Extra (reluctantly)" "EJShoe" FALSE FALSE 1417477442
"41" "539565572661719040" "RT @Walmart: #CyberMonday is here! Save big right now at our biggest event of the year: http://t.co/ZKo75tzvc2 http://t.co/XBDeLYBYyd" "LocalDirectDeal" TRUE FALSE 1417477431
"42" "539565437500260352" "And I also have words for the rep that just called me (Rosie 25245) with her rude ass @walmart" "MinusTheCultJam" FALSE FALSE 1417477399
"43" "539565373268713472" "if I ever spend another penny at @walmart I expect @bourboli to smack my face or slice me with his sword. #fuckwalmart #neveragain" "brettv79" FALSE FALSE 1417477384
"44" "539565072235118592" "@Walmart i got $120 what would that get me computer wise" "jdodson1128" FALSE FALSE 1417477312
"45" "539565050839965696" "@walmart to be told they never found it in the first place but here's your money back. Seriously? Fuck that place.." "brettv79" FALSE FALSE 1417477307
"46" "539565017796837376" "@StateDept @USTradeRep @Walmart @WalmartCanada @AmericanPublish @Target @amazon @AmazonUK: Buy: The World Around Us II By: Tharius Heaven" "LordJezusChrist" FALSE FALSE 1417477299
"47" "539564977972318208" "I should be able to shop online since I'm 9 months pregnant but y'all make that impossible too @walmart" "MinusTheCultJam" FALSE FALSE 1417477290
"48" "539564870279397376" "@walmart call 4 days later and be told \"yes we have it, you can come get it\". Wait another 20 minutes in line...." "brettv79" FALSE FALSE 1417477264
"49" "539564772971143168" "@oogleyas @Walmart THIS IS TOTALLY UNREAL!" "emanybeads" FALSE FALSE 1417477241
"50" "539564669456105472" "I guess it's ok to order something online from @Walmart, get an email it's in, then wait an hour to be told it's on the truck in the back..." "brettv79" FALSE FALSE 1417477216
"51" "539564648857890816" "#Cybermonday #BlackFriday sales are a bust. @Walmart @BestBuy @Kmart @Macys ruin a family day and get your sales ruined! #savethanksgiving" "BernadetteBoas" FALSE FALSE 1417477211
"52" "539564517878136832" "@walmart cancelled my online order over a week ago &amp; promised me a gift card &amp; I haven't seen it YET. All the reps are incompetent." "MinusTheCultJam" FALSE FALSE 1417477180
"53" "539564415868497920" ". @Walmart, @Target report strong online Thanksgiving sales http://t.co/TG1oFDGhTv" "M2W_Conference" FALSE FALSE 1417477156
"54" "539564415054798848" ". @Walmart, @Target report strong online Thanksgiving sales http://t.co/ztbbnWqOtH" "M2Moms" FALSE FALSE 1417477155
"55" "539564356066091009" "@MorganTyler86 @BestBuy @Walmart Walmart always has awesome bluray prices after black friday" "Brittin95" FALSE FALSE 1417477141
"56" "539564252227305472" "@keithlowell @Walmart good idea" "RalComCashWorld" FALSE FALSE 1417477117
"57" "539564215745277953" "RT @keithlowell: Seemed like a good day to reshare this. 
Support the #walmartstrikers. 
@Walmart, pay a living wage

#KLJmeme http://t.co/…" "RalComCashWorld" TRUE FALSE 1417477108
"58" "539564111450091521" "RT @UncreativeMommy: Do you love Honey Nut Cheerios? Get a $1 off coupon @Walmart here as well as an exclusive song by @Usher:#ad http://t.…" "robindavidman" TRUE FALSE 1417477083
"59" "539564013064298496" "@Walmart - I have 15 receipts showing this deal. I am being denied. I guess my money isn't as green as theirs. http://t.co/DwmBth4KRQ" "SlowAnthony" FALSE FALSE 1417477059
"60" "539563977957572609" "#CyberMonday must-have alert! Your little ghoul will adore our scary-cute #MonsterHigh skullette beauty bag: http://t.co/dCazTBMb4t @Walmart" "Markwins4Girls" FALSE FALSE 1417477051
"61" "539563960992010241" "@aPolishgirl Sounds like the @Walmart pharmacy tech is taking drugs. Not uncommon. They should ask her to take a blood test." "strumcat" FALSE FALSE 1417477047
"62" "539563947162996736" "The Fact WalMart is being so rude about people not having a receipt to refund an item is stupid. #BooWalMart @Walmart " "KatieDoll06" FALSE FALSE 1417477044
"63" "539563797321494528" "RT @UncreativeMommy: Do you love Honey Nut Cheerios? Get a $1 off coupon @Walmart here as well as an exclusive song by @Usher:#ad http://t.…" "voiceBoksMedia" TRUE FALSE 1417477008
"64" "539563782201434112" "@Walmart love all the #arckit products online! #SophisticatedLego @Arckitmodel" "shanabernad" FALSE FALSE 1417477004
"65" "539563744301285376" "RT @ExPoleDancer: Up in @Walmart. Why? Because no place has a better assortment of tacky #Christmas lights &amp; swag ⛄️" "BigRMV" TRUE FALSE 1417476995
"66" "539563706993344512" "@Walmart You can have your store give me the same deal that your other stores are giving your other customers. Is my money not as good??" "SlowAnthony" FALSE FALSE 1417476987
